ts_code,agent_score,agent_risk_level,agent_veto,agent_adjustment,agent_reason
300274.SZ,0.69,medium,False,-0.02,日内涨2.17%但历史隔夜负收益，下调排序
000301.SZ,0.73,medium,False,0.02,尾盘极度强势，日区间高位，上调
300059.SZ,0.72,low,False,0.03,流动性极好，大盘蓝筹，稳健上调
605499.SH,0.71,low,False,0.01,消费蓝筹，走势稳健，小幅上调
000630.SZ,0.63,medium,False,-0.08,日内微跌，历史隔夜均值-4.3%，显著下调
603799.SH,0.72,medium,False,0.02,隔夜正向率0.4，日区间高位，上调
600690.SH,0.69,low,False,0.0,平盘防守型，隔夜弹性有限，维持中性
002180.SZ,0.68,medium,False,-0.01,低位拉升但历史隔夜偏弱，微下调
300124.SZ,0.69,medium,False,0.01,历史隔夜有正收益，偏低位置，小幅上调
605117.SH,0.65,medium,False,-0.02,同行业已有更优标的，score偏低，下调
000792.SZ,0.67,medium,False,-0.02,高位回落较大，尾盘动能减弱，下调
600674.SH,0.63,low,False,0.01,高胜率但波动小，流动性一般，微上调
603260.SH,0.69,medium,False,0.08,日内大涨6.18%，历史隔夜胜率高，显著上调
000596.SZ,0.62,medium,False,-0.05,成交额偏小，次日开盘滑点风险，下调
601100.SH,0.59,medium,False,-0.08,尾盘弱势，日高位回落2.2%，显著下调
